dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587736543097913369,228.80407,7.7799979000000015,7.4594439,0.87326818,1.8869511000000003,1.2714499,0.45806022,4,14272.0,Unclassifiable,0.034930699999999995,-20.2604351,0.904206,369596.0,10.385264,-21.048161999999998,0.034930699999999995
587736543098241252,229.61777,7.6587864,13.472343,0.64468424,3.2722399,0.87197363,0.46975688,5,22421.0,SF,0.0468468,-20.5267315,0.638096,369610.0,10.293383,-21.391726000000002,0.0468468
587736543099945346,233.54418,7.093722200000001,21.346722,2.5275117,3.8900034,1.370187,0.64776453,5,7976.0,SF,0.046547399999999996,-21.1877956,0.8078401,369737.0,10.701838,-22.103346,0.046547399999999996
587736543623577785,203.06003,10.408453,4.2041982,1.2856613,1.1016057,0.22977848,0.22475727,4,18621.0,SF,0.0244892,-19.2155781,0.2143642000000001,370003.0,9.382631,-20.028978,0.0244892
587736543624036453,204.05601,10.478201,14.177691,1.9917145,3.5032272000000004,1.904941,0.34280467,4,4287.0,AGN non-Liner,0.0537855,-21.9360638,0.7640799,370019.0,10.984065,-22.851429,0.0537855
587736543625281727,207.04462,10.175706,4.2756928,0.36447706,1.2907296999999998,0.55903829,0.41359351,4,28169.0,SF,0.0240803,-18.9588013,0.474185,370097.0,9.592462,-19.722181,0.0240803
587736543635308716,230.14025,7.9533684,11.225284,0.97243141,2.8087851,0.69290538,0.41705045,5,12084.0,Composite,0.0433094,-20.7880516,0.6754100000000001,370594.0,10.447080999999999,-21.666971,0.0433094
587736545238777918,228.27417000000003,4.5642144999999985,8.910221,2.7652973,2.4055955,1.0840264,0.67261525,4,79654.0,SF,0.056252699999999996,-20.0121002,0.5886102,371292.0,10.069814,-20.91345,0.056252699999999996
587736545239499059,229.90553,4.4487725,8.418887800000002,1.2240144,2.0485954,0.33104638,0.41201496,3,40132.0,Low S/N Liner,0.048283,-20.155641600000006,0.8219056999999999,371434.0,10.293938,-21.057945,0.048283
587736545773289597,222.97739,5.3261877,9.6767341,1.6958436999999995,2.1381582000000003,0.77806321,0.51129407,6,5730.0,Low S/N Liner,0.028164599999999995,-20.399662,0.8666640999999999,371846.0,10.411777,-21.172394,0.028164599999999995
587736545773682791,223.83805,5.2977998,4.2321209,0.42610437,0.90758437,0.35394441,0.35902374,5,10675.0,SF,0.0215365,-19.387970000000006,0.4266665,371869.0,9.621975,-20.137188000000002,0.0215365
