  NAME                  SPEC             RA          DEC          Z          LOGF_5007   col1     col2      col3            col4            col5        col6         col7         col8        col9          col10       col11         col12       col13   Separation
  J112255.74+523825.3   52365-0879-328   170.73223   52.640361    0.033901   -14.28      190780   853177    170.732267793   52.640423783    0.0338319   15.1477165   17.7200012   1.0         -19.9571152   0.8188528   -19.933897    0.875173    1       0.24062560427550841   
  J161809.38+361957.8   52764-1056-067   244.53907   36.332728    0.033977   -14.20      242063   994383    244.53903712    36.332747636    0.0337628   15.8279161   17.7200012   0.8847458   -19.2887096   0.5665941   -19.2750168   0.5381575   1       0.1187004565895371    
  J162636.40+350242.1   52522-1057-630   246.65167   35.045019    0.034012   -14.85      242534   995684    246.651684273   35.04503437     0.0341566   15.2334194   17.7200012   0.98        -19.8308716   0.432322    -20.0361862   0.5335106   1       0.06950737711502492   
  J110157.90+101739.3   52723-1220-539   165.49125   10.29424     0.034036   -13.02      226590   949334    165.491265983   10.294248208    0.0340529   15.8703747   17.7200012   0.8682927   -19.2686214   0.5323227   -19.2651958   0.5003422   1       0.06386014246381916   
  J140018.43+050242.2   52339-0856-528   210.07678   5.045069     0.034201   -12.91      129995   527399    210.076745199   5.04506734      0.034327    14.2190294   17.7200012   0.8576512   -20.8446312   0.4729996   -20.8446312   0.4729996   3       0.12494123001792687   
  J120704.75+090647.9   52723-1229-299   181.76979   9.113311     0.034427   -14.70      256583   1058304   181.769805656   9.113320173     0.0344496   14.7020245   17.7200012   0.9132653   -20.3408813   0.8460307   -20.5191154   0.9056143   1       0.06471046583468183   
  J032525.36-060837.9   51924-0460-616   51.355674   -6.14387     0.034488   -13.06      19073    159865    51.355655172    -6.143870385    0.0344137   13.6530781   17.6200008   0.8387097   -21.5149746   0.5311791   -21.5029297   0.5369622   1       0.06740573763277646   
  J215512.42+005906.5   52078-0371-612   328.80177   0.985141     0.035011   -14.83      417459   1699106   328.801740846   0.985188424     0.0349756   15.3410282   17.6200008   0.9753087   -19.8528862   0.7566539   -19.9251862   0.8293678   1       0.20039878589709756   
  J165124.40+243121.4   52912-1424-521   252.85166   24.522616    0.035181   -14.81      391135   1407000   252.851680877   24.522599272    0.0350859   16.4050617   17.7200012   0.8932806   -18.7900276   0.8647611   -18.7818451   0.8878801   1       0.0911157148546936    
  J092512.85+521710.3   52252-0767-418   141.30355   52.286206    0.035264   -12.85      111813   474077    141.303511834   52.286313381    0.0355171   15.1508703   17.7200012   0.9068627   -20.0984058   0.3916622   -19.9837303   0.3627735   1       0.3956030057171898    
  J130737.68+433117.7   53084-1375-304   196.90702   43.521587    0.035371   -14.48      312015   1227633   196.90701709    43.521586366    0.035308    15.3364477   17.7200012   0.9846154   -19.8727341   0.7627997   -19.8620262   0.753427    1       0.00793178358912714   
  J095955.85+130237.8   53055-1744-372   149.98271   13.043827    0.035463   -13.88      438632   1822268   149.982693113   13.043815318    0.035241    13.9398737   17.7200012   1.0         -21.302969    0.5205173   -21.2015915   0.5728054   1       0.07263740635594501   
  J233837.10-002810.4   51877-0385-264   354.6546    -0.469552    0.035554   -13.87      526311   2100488   354.654550068   -0.469572433    0.0356588   16.1488476   17.6200008   0.974359    -19.1022568   0.6609726   -19.2774734   0.7028408   1       0.19421807038579844   
  J110101.78+110248.9   53119-1603-218   165.25742   11.046922    0.035573   -13.49      307605   1218706   165.25732598    11.046929457    0.0356249   15.0654364   17.7200012   0.8435115   -20.164978    0.7718764   -20.1599121   0.7350817   1       0.3332832291805473    
  J104439.16+384534.4   53003-1432-006   161.16317   38.759552    0.035626   -13.86      291107   1179041   161.163145653   38.759548246    0.0356506   13.9505262   17.7200012   0.9795918   -21.1893044   0.6849178   -21.2125912   0.7937492   1       0.06967040889252404   
  J140941.70+372905.0   53115-1642-624   212.42374   37.484734    0.035705   -14.85      407163   1443978   212.423734509   37.484726112    0.0356655   16.2274723   17.7200012   1.0         -19.0055218   0.7452516   -19.0433559   0.7802991   1       0.0324411104863633    
  J150556.56+034226.3   52055-0589-111   226.48565   3.707308     0.035882   -12.80      116015   489493    226.485635502   3.707310327     0.0358841   13.6217585   17.7200012   0.8852459   -21.6456375   0.5902512   -21.3127823   0.6763813   1       0.052752979057492676  
  J034547.98-000025.6   51811-0416-024   56.449928   -0.007117    0.035929   -13.97      525880   2094851   56.449947418    -0.007109614    0.0361733   15.4724159   17.6200008   0.9901478   -19.7962112   0.7289606   -19.7570724   0.6866442   1       0.07479096079758418   
  J143452.46+483942.8   52733-1047-300   218.71857   48.661878    0.036489   -13.53      379480   1380717   218.718621256   48.661867271    0.036641    14.4719057   17.7200012   0.9137931   -20.8552456   0.5171228   -20.689579    0.5268026   1       0.12785067381645354   
  J150511.42-020831.0   52426-0922-168   226.2976    -2.141952    0.037129   -15.14      153028   592085    226.297619143   -2.141955458    0.0371147   14.9909306   17.7200012   0.8865546   -20.2374916   0.7437393   -20.3735085   0.8647167   1       0.06998276890537722   
  J090436.95+553602.7   51908-0450-469   136.15396   55.600761    0.037142   -13.72      34825    216096    136.153854446   55.600832002    0.0372445   15.8474464   17.6200008   0.8973384   -19.4911289   0.4963306   -19.4909019   0.4890293   1       0.33380011506595036   
  J154814.76+450027.7   52782-1333-552   237.0615    45.007702    0.037268   -14.57      297248   1194098   237.061490792   45.007706353    0.0370932   16.5233078   17.7200012   0.9292604   -18.7149277   0.6514547   -18.7985172   0.5940511   1       0.028193043267361686  
  J163348.87+355318.5   52765-1338-070   248.45363   35.888477    0.037511   -14.17      244320   999903    248.453637541   35.88848654     0.0374992   14.9398937   17.7200012   0.8792453   -20.3201694   0.6675725   -20.526577    0.7360845   1       0.040782856229827476  
  J151343.32+042143.7   52057-0590-611   228.43049   4.362134     0.037765   -14.80      154741   596868    228.430472425   4.362138692     0.0377049   14.9988422   17.7200012   0.9         -20.2652111   0.735303    -20.4575481   0.7647239   1       0.06530885905677787   
  J161951.31+405847.2   52753-1171-166   244.9638    40.979787    0.037858   -13.97      249743   1016419   244.963804244   40.979816835    0.0378008   14.8917103   17.7200012   0.8892733   -20.3810883   0.6991285   -20.5245781   0.7143301   1       0.10802355588219145   
  J111117.96+113315.8   53078-1604-161   167.82484   11.554388    0.038069   -14.67      308006   1219584   167.824831154   11.554391795    0.0380277   14.0938244   17.7200012   0.9102564   -21.2964001   0.5770009   -21.2812176   0.5665677   1       0.03406032572690897   
  J163453.67+231242.7   53174-1571-427   248.72362   23.211848    0.038606   -13.79      403178   1434786   248.723628544   23.211835697    0.0386162   14.5418453   17.7200012   0.9929578   -20.777647    0.6428627   -20.7434597   0.6931729   1       0.052543222851984005  
  J145901.36+611353.6   52055-0611-437   224.75565   61.231554    0.038767   -14.28      118919   500827    224.75563947    61.231635009    0.0389225   14.6897612   17.7200012   0.8341463   -20.7374706   0.7231992   -20.5918961   0.7739881   1       0.292202498556542     
  J040929.15-042902.6   51910-0465-548   62.371466   -4.484066    0.038801   -13.97      75695    336879    62.371481222    -4.484092398    0.0387709   16.0808277   17.6200008   0.851735    -19.358717    0.5758196   -19.3190422   0.5151182   1       0.10961674159873194   
  J004719.40+144212.6   51871-0420-314   11.830816   14.703501    0.039155   -13.81      89728    381228    11.830795138    14.703486658    0.0390731   14.0528746   17.6200008   0.8732395   -21.2840767   0.7309415   -21.3165245   0.7575395   1       0.08912291485199804   
  J092115.56+101741.1   53050-1740-215   140.31485   10.294746    0.039262   -14.15      323460   1252597   140.314858835   10.294738332    0.039478    14.5246153   17.7200012   0.9304813   -20.9432201   0.6969757   -21.007515    0.6807175   1       0.04172933610041568   
  J093551.59+612111.5   51910-0486-231   143.96497   61.353203    0.03933    -14.55      38881    228735    143.964923855   61.353273083    0.0393857   14.2985821   17.7200012   0.8803192   -21.1503639   0.6058954   -20.9349384   0.7732996   1       0.26456994430773406   
  J083949.65+484701.5   51959-0550-535   129.95687   48.783748    0.039351   -13.57      87706    375069    129.956868627   48.783824016    0.0391975   15.1119175   17.7200012   0.8950617   -20.3416882   0.6362194   -20.3197575   0.5858521   1       0.2736769791469856    
