name,ra,dec,z,flux_oiii,petro_abs_mag,central
J104212.32+011322.3,160.55132,1.2228689,0.19542400000000001,-15.350085,-21.223526,1
J104149.73+011412.9,160.45719,1.2369219999999999,0.06386889999999999,-15.042074,-20.3997211,1
J104322.73+005834.1,160.84468999999999,0.97613123,0.0720884,-15.369282,-21.1933918,1
J104945.62-005020.1,162.44008,-0.83892943,0.0378589,-15.541120000000001,-19.113429999999997,0
J105013.33-001205.5,162.55556,-0.20152795,0.072639,-15.012495999999999,-20.821458800000002,1
J105007.53-002027.9,162.53139,-0.34108697,0.0943548,-15.285151,-20.8792362,0
J105000.37-002024.0,162.50156,-0.34001129,0.0958325,-14.894098000000001,-21.2697392,0
J104737.46-001405.5,161.90608999999998,-0.23484789999999997,0.151627,-14.360001,-21.1529865,1
J104711.96-000416.6,161.79985,-0.071289276,0.0401258,-15.448706,-19.822675699999998,0
J104724.04+000153.7,161.85018,0.031594987000000005,0.11284300000000001,-15.528317000000001,-20.8591919,0
J104456.49-002050.0,161.23536000000001,-0.3472093,0.193125,-14.831914000000001,-21.4387016,1
J104404.21-003509.3,161.01753,-0.58590516,0.0602914,-15.349542999999999,-18.895553600000003,0
J104345.18-002523.7,160.93823999999998,-0.42325978,0.039154699999999994,-15.044181,-20.4676628,1
J104412.33+000906.5,161.05139,0.15179226,0.106723,-14.616779000000001,-20.5879765,1
J104439.41-002604.1,161.1642,-0.43447373,0.08539769999999999,-14.951937,-20.2795753,1
J104155.74-000012.6,160.48225,-0.0034970159000000003,0.113295,-15.262402,-20.896812399999998,1
J104102.57+004943.6,160.26068999999998,0.82877629,0.065209,-15.479301999999999,-20.651386300000002,0
J104025.89+001521.4,160.10786000000002,0.25594416,0.129715,-15.328656,-21.228202800000002,0
J104418.81+010735.3,161.07838,1.1264786,0.11553800000000002,-15.595898000000002,-20.4678421,0
J104426.16+001707.3,161.10902,0.28536079,0.150198,-14.514861999999999,-20.803214999999998,1
J104503.60+002603.9,161.26502,0.43441701,0.0263072,-14.900844000000001,-19.639480600000002,1
J104629.18+002004.8,161.6216,0.33467935,0.0498029,-15.445766,-19.0742836,1
J104657.30+005334.3,161.73875,0.89287054,0.151106,-15.00477,-21.6403713,1
J104819.34+001524.8,162.08059,0.25688353,0.0941073,-15.615104999999998,-20.5142136,1
J104839.52+001943.7,162.16468,0.32881049,0.0940495,-15.364597,-20.3815975,1
J104940.04+002615.0,162.41683,0.43751140000000005,0.0907837,-15.624795,-21.1675873,1
J104941.38+003910.6,162.42243,0.65294485,0.0963977,-15.478551000000001,-21.4772797,1
J105116.29+002833.8,162.81786,0.47605215,0.0900768,-15.601999,-21.1420918,1
J105032.77+004512.1,162.63653,0.75334764,0.09642510000000001,-15.513886999999999,-21.641016,1
J105132.23+001526.3,162.88429,0.25729931,0.037864999999999996,-15.033885,-20.746624,1
J105621.57-005320.3,164.08988,-0.8889765,0.0752083,-14.131209,-20.915226,1
J105542.65-001848.7,163.92772,-0.3135235,0.0644487,-15.449504000000001,-20.2915077,1
J105625.86-000450.7,164.10775,-0.080747309,0.11477799999999999,-14.685917000000002,-21.3430195,1
J105332.36-005736.6,163.38485,-0.96016737,0.126556,-15.423966,-21.0465813,0
J105421.64-000055.4,163.59018,-0.015385842,0.107242,-15.520497,-20.9075413,1
J105408.69-000111.0,163.53621,-0.01973043,0.108145,-14.820435,-20.4388638,1
J105226.01-000711.7,163.10837,-0.11990550000000001,0.15019200000000002,-15.598588000000001,-21.0851154,1
J105145.08-002616.7,162.93785,-0.43798543,0.07268229999999999,-15.169235,-20.4972897,1
J105138.41-010734.2,162.91003999999998,-1.1261567,0.038135199999999994,-15.191815,-20.3629417,0
J104950.24+011216.8,162.45935,1.204653,0.0388942,-15.335473,-21.142643,1
J104913.39+005902.5,162.30578,0.98401603,0.124338,-15.472322,-20.4324245,1
J105031.38+004538.2,162.63075,0.76059904,0.09630470000000001,-15.334935999999999,-21.032026300000002,0
J104916.99+001945.6,162.32081000000002,0.32934592,0.04067,-15.242313000000001,-21.2028885,0
J105022.79+001411.0,162.59493999999998,0.23637702,0.039434,-15.653691,-20.262575100000003,0
J105057.32+001652.0,162.73883,0.28111709,0.0948776,-15.630256,-20.7743835,1
J105250.83+005411.8,163.2118,0.90327177,0.163456,-15.123535999999998,-21.1663952,1
J105305.28+000833.8,163.27199,0.14271285,0.10947899999999999,-15.622492999999999,-20.3636284,1
J105408.24+002139.7,163.53433,0.36103057,0.0477381,-14.318904000000002,-20.146129600000002,1
J105503.24+000830.7,163.76352,0.14187376,0.10338699999999999,-15.419351999999998,-20.247695899999997,1
J105555.29+001818.4,163.98037,0.30512105,0.0786753,-15.625417,-19.4206562,1
J105753.65+002919.1,164.47353,0.48863994,0.0655539,-15.608622,-19.171403899999998,0
J105745.74+002734.1,164.44059,0.4594775,0.0654581,-15.289303,-20.7078667,1
J105646.37+003055.9,164.1932,0.51552848,0.0991423,-15.626752,-20.628933,1
J105804.54+002348.1,164.51893,0.39668469,0.0770648,-15.356357000000001,-20.601215399999997,1
J110539.65-002940.6,166.41519,-0.49460098,0.112676,-15.167467000000002,-20.6011715,1
J110338.36-005208.4,165.90984,-0.86900692,0.028608799999999997,-14.664458999999999,-18.365198100000004,1
J110528.88-004445.6,166.37034,-0.74601177,0.0878299,-15.581448000000002,-20.116691600000003,1
J110431.99-004349.8,166.13328,-0.73049887,0.0197412,-14.371791,-18.9335327,1
J110411.63-000956.5,166.04846,-0.16569527,0.0855693,-15.127609,-20.639307000000002,1
