name,z,flux,luminous
J090031.76+432709.0,0.060879,-14.8,40.148277
J101733.20-000145.2,0.060974,-14.36,40.58969
J163631.29+420242.5,0.060982000000000015,-14.39,40.559808
J073956.02+402816.3,0.06107000000000001,-15.39,39.561115
J152000.60+303146.0,0.061089,-15.03,39.921397
J001335.38-095120.9,0.06151,-14.37,40.587622
J081207.99+320453.1,0.061623,-14.04,40.919285
J081700.41+343556.3,0.061741,-14.0,40.96102
J025156.37-082237.4,0.061836,-14.87,40.092413
J102148.90+030732.2,0.061838,-14.25,40.712443
J021257.60+140610.2,0.06184700000000001,-14.08,40.882575
J212401.90-002158.8,0.061864,-14.09,40.872824
J120655.63+501737.2,0.06198500000000001,-14.13,40.834595
J131514.47+593829.4,0.061996,-14.22,40.744756
J120130.22+002429.3,0.062130999999999985,-14.78,40.186729
J105938.92+455329.7,0.062132000000000014,-14.64,40.326743
J123152.06+450443.1,0.062201,-14.28,40.68775
J083045.37+340532.1,0.062274,-13.57,41.398813
J154154.83+030506.2,0.062396000000000014,-13.92,41.050588
J134302.66+445018.6,0.062398,-13.99,40.980617
J133633.55+444330.6,0.062424,-14.52,40.450995
J080559.52+440106.6,0.062463,-14.15,40.821562
J014127.79+130436.5,0.062511,-14.94,40.032258
J135345.93+395101.6,0.06264700000000001,-14.36,40.61423
J160714.40+331909.1,0.06275499999999999,-14.78,40.195792
J212938.56+103856.4,0.062827,-14.89,40.086832
J094229.34+000204.5,0.063041,-14.78,40.199917
J120556.01+495956.2,0.063091,-13.35,41.630637
J103833.43+465806.8,0.06314299999999999,-13.94,41.041384
J115205.89-033015.9,0.063165,-13.67,41.3117
J102649.96+402128.9,0.063172,-15.17,39.811801
J102554.67+471424.6,0.063173,-14.55,40.431815
J100911.55+024451.4,0.063185,-15.13,39.851988
J151652.47+395413.4,0.063238,-14.42,40.562748
J170626.70+232410.0,0.063286,-15.26,39.723437
J074424.48+332034.7,0.063334,-15.0,39.984125
J081534.63+351710.8,0.06341000000000001,-14.39,40.595213
J214451.71+002826.9,0.063438,-14.49,40.495614
J121828.57+533137.0,0.063473,-14.94,40.046114
J083107.63+052106.0,0.06352200000000001,-14.22,40.766815
J083716.47+035606.1,0.063551,-15.32,39.667229
J121714.42+042856.9,0.063635,-14.88,40.108428
J105424.29+454130.5,0.063651,-15.2,39.788656
J084257.46+030841.5,0.063679,-14.34,40.649055
J161041.38+523703.3,0.063832,-14.87,40.121233
J212512.48-071329.9,0.063837,-14.21,40.781305
J122811.42+095126.8,0.063864,-14.27,40.721688
J140221.27+392212.4,0.06386599999999999,-15.07,39.921717
J084927.37+324852.8,0.063889,-14.04,40.952044
J133743.34+451742.9,0.063957,-14.94,40.053009
J155922.19+270338.9,0.064122,-14.28,40.715348
J115537.99-004614.2,0.064261,-14.05,40.947315
J103244.21+391322.8,0.064404,-14.03,40.969333
J085152.63+522833.0,0.064454,-14.59,40.410038
J120330.23+123140.9,0.06458799999999999,-15.06,39.941924
J082320.69+074020.2,0.064604,-14.95,40.052149
J155805.47+050533.9,0.064737,-14.7,40.304016
J153333.16+321813.5,0.064748,-14.92,40.08417100000001
J225051.71-085456.9,0.064886,-14.44,40.566104
J120658.15+474327.4,0.06491,-15.22,39.78644
J154823.45+360553.9,0.065013,-14.21,40.797881
J110138.80+012448.8,0.06505599999999999,-14.71,40.298481
J232714.52-102317.6,0.065112,-14.51,40.499263
J074529.51+231602.6,0.065217,-13.93,41.080727
J095941.36+491529.5,0.065273,-13.97,41.041507
J084556.67+340936.2,0.065513,-14.41,40.604841
J154240.64+350716.5,0.065538,-14.2,40.815188
J154257.49+030653.3,0.065552,-14.46,40.555382
J171550.50+593548.8,0.065727,-14.39,40.627805
J152209.56+451124.1,0.065732,-14.43,40.587874
J231216.84-101410.3,0.065821,-14.38,40.639104
J172533.07+571645.6,0.065843,-14.0,41.019407
J095330.53+562653.5,0.066028,-14.16,40.861957
J153616.75+404646.5,0.066063,-14.79,40.232439
J121600.04+124114.3,0.066148,-14.31,40.713608
J093512.66+121424.2,0.06621,-15.25,39.77446
J092057.73+565509.8,0.06654199999999999,-15.13,39.899007
J145047.20+033645.4,0.06654299999999999,-15.0,40.029021
J105644.96+105455.7,0.066563,-14.59,40.439294
J083227.85+270215.0,0.066583,-13.96,41.069567
J124638.73+513455.9,0.066815,-14.53,40.50273
J132709.68-013118.4,0.066822,-14.1,40.932825
J080752.27+383211.0,0.066853,-14.43,40.603247
J124612.11+410811.9,0.06690700000000001,-13.83,41.203981
J102124.88+012720.3,0.066923,-15.36,39.674199
J032048.20+005137.7,0.067001,-14.29,40.745258
J003147.25-004359.4,0.06702999999999999,-14.95,40.085652
J081121.40+405451.8,0.067063,-14.02,41.016099
J122141.17+130029.3,0.067065,-14.86,40.176127
J080545.95+504156.5,0.06740299999999999,-13.96,41.080699
J153923.52+360941.6,0.06755,-14.65,40.392681
J130030.38+010247.5,0.06757300000000001,-15.21,39.832991
J105828.77+525929.1,0.067584,-14.24,40.803139
J140519.73+025814.2,0.06780499999999999,-14.38,40.66611
J121157.48+055801.1,0.06782,-14.04,41.006311
J000657.76+152550.1,0.067889,-14.37,40.677236
J150224.73+452353.9,0.06796,-14.89,40.158187
J114208.48+531526.0,0.067965,-14.85,40.198254
J121436.49+573720.0,0.06803200000000001,-14.7,40.349151
J160020.79+371607.0,0.068085,-14.07,40.97986
J101514.28+412424.5,0.068094,-14.48,40.56998
J145229.63+383424.7,0.06830499999999999,-14.7,40.35279600000001
J134814.88+021316.3,0.068329,-14.89,40.163116
J232032.02+004759.2,0.068396,-15.23,39.824008
J234428.82+134946.1,0.068412,-14.85,40.204221
J081257.09+261117.1,0.06851900000000001,-13.9,41.155643
J154150.86+310037.2,0.068593,-14.33,40.726626
J142732.21+343039.1,0.068635,-15.07,39.987183
J173107.87+620026.1,0.068687,-13.98,41.077873
J031743.12+001936.8,0.068702,-14.74,40.318072
J140544.38+405116.8,0.068832,-14.82,40.239793
J155415.95+515919.0,0.068944,-15.5,39.561273
J115333.22+095408.4,0.06899,-13.86,41.20188
J035107.60-052637.1,0.069084,-14.23,40.83312
J101646.04+060718.5,0.06930599999999999,-14.56,40.506042
J165612.00+422553.6,0.069314,-14.21,40.856147
J092205.25+000903.3,0.06933099999999999,-14.58,40.48637100000001
J133956.94+591209.4,0.069367,-14.43,40.636843
J105115.42+054824.6,0.069471,-14.22,40.848208
J232643.09-095927.9,0.06951399999999999,-14.48,40.588772
J161301.63+371714.9,0.06955800000000001,-13.8,41.269348
J221024.43-093114.0,0.069573,-15.09,39.979544
J101238.52+101719.3,0.069654,-13.61,41.460604
J013407.89-084129.9,0.069687,-14.22,40.851036
J013706.95-090857.5,0.06970900000000001,-13.66,41.411323
J160419.59+525818.7,0.06970900000000001,-15.16,39.911323
J103759.26+615311.0,0.069726,-15.3,39.771546
J102235.15+022930.5,0.06978999999999999,-14.53,40.542381
J001741.75+000752.4,0.06979500000000001,-14.01,41.062447
J122742.37+095728.5,0.069813,-15.25,39.822682
J141312.68-004508.0,0.06981799999999999,-14.77,40.302747
J125616.53+480454.8,0.069938,-14.0,41.074311
J000605.59-092007.0,0.070009,-14.94,40.135236
J222852.77-090452.6,0.070037,-13.96,41.1156
J160505.22+380838.2,0.070059,-15.57,39.505886
J112455.86+080615.3,0.070073,-14.42,40.656068
J081529.27+324139.8,0.070132,-14.73,40.346835
J164552.20+442614.9,0.07016499999999999,-14.9,40.177264
J075751.20+345921.8,0.070266,-14.01,41.068575
J163228.88-002843.9,0.07029400000000001,-13.64,41.438938
J163646.30+462936.0,0.07033400000000001,-15.19,39.889456
J090624.60+005756.0,0.070361,-14.99,40.089806
J113938.85+572910.5,0.070373,-15.17,39.909961
J211307.21+005108.5,0.07038,-14.32,40.760052
J162445.71+393949.6,0.070392,-13.76,41.320207
J153043.08-002259.2,0.070508,-14.27,40.811708
J100151.41+490859.8,0.070534,-14.69,40.392044
J155140.52+085226.1,0.07054400000000001,-14.71,40.372173
J123639.79+040758.5,0.070559,-14.42,40.662367
J130803.04+035114.6,0.070642,-13.99,41.093439
J163159.34+002123.7,0.070721,-14.8,40.284457
