name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id
J092313.32+565622.3,140.8055,56.939528,0.049386,39.579412,-20.4766617,1,31177
J164520.63+424528.0,251.33594,42.75777100000001,0.049401,39.719685,-20.2318554,1,45736
J121958.74+560855.0,184.99474,56.148616,0.049481,39.711141,-19.5184669,1,106251
J093327.87+093200.1,143.36614,9.533356,0.049695,40.025023,-20.298954,1,43384
J083220.04+302719.4,128.08348,30.455399,0.049792,40.49677700000001,-19.4686241,1,111572
J075643.72+445124.2,119.18215,44.856709,0.049802,40.37695770424798,-20.5606651,0,25956
J094839.74+363649.2,147.1656,36.613667,0.049886,40.128474,-20.6174908,1,23701
J091520.48+411918.8,138.83532,41.321884,0.049894,39.568619,-19.9009838,1,72405
J120234.40+544500.7,180.64334,54.750195,0.049899,39.78870915148268,-19.0902576,0,210812
J100510.52+543255.5,151.29381999999995,54.548757,0.049929,39.89924986397247,-19.0874138,0,183664
J084146.02+032424.9,130.44177,3.4069199999999995,0.050167,39.863529,-20.447979,1,33922
J075611.33+452905.0,119.04722,45.484732,0.050283,39.905608,-20.8796654,1,16885
J121826.71-000750.0,184.6113,-0.13056199999999998,0.050422,40.828092,-19.4773331,1,134202
J093701.05+010543.8,144.25437,1.095498,0.050541,41.29021436397859,-20.5684338,0,28473
J121920.85-001429.5,184.83689,-0.241522,0.050589,40.461069,-19.870397600000004,1,77597
J130619.84+455224.2,196.58266,45.873399,0.050697000000000006,39.942989,-20.5461941,1,32207
J115138.10+561331.9,177.90876,56.225530000000006,0.050854,40.605773,-19.308670000000006,1,150592
J162138.10+351617.3,245.40874,35.271464,0.05086,40.985879,-20.214780800000003,1,50304
J081509.80+032753.7,123.79084,3.464906,0.051094,40.390012,-20.9028397,1,17090
J102934.69+004819.1,157.39456,0.805307,0.051167,39.431298,-19.7993832,1,89377
J153001.82-020415.0,232.50757,-2.070846,0.051188,40.481667,-20.0064106,1,69021
J095050.29+095236.8,147.70953,9.876884,0.051257,40.462881,-20.1022453,1,52181
J112841.00+575006.5,172.17083,57.83514,0.051268,40.803074,-21.5661201,1,7525
J115038.19-005326.6,177.65911,-0.890724,0.051366,40.134794,-20.0404167,1,65619
J210226.54+000702.3,315.6106,0.117307,0.051636,40.029516,-19.2068958,1,178410
J075244.20+455657.4,118.18416,45.949273,0.051799,40.75235500000001,-21.709556600000006,1,6024
J120626.28+424426.1,181.6095,42.740579,0.052026,40.456295000000004,-20.6346188,1,26342
J212851.20-010412.5,322.21332,-1.070127,0.052051,39.856728000000004,-21.5411835,1,6486
J130019.96+613918.1,195.08318,61.65503,0.052198,40.899269000000004,-21.213138600000004,1,13402
J105658.53+441653.2,164.24387,44.281444,0.052375,41.06232,-19.5481129,1,135616
J085554.27+005111.0,133.97613,0.853043,0.052387,40.752526,-20.1966686,1,46508
J104252.94+041441.1,160.72059,4.244756,0.052457,40.50373,-19.8732224,1,87341
J103210.16+065205.4,158.04232,6.868173,0.052774,40.069161,-19.9453011,1,80161
J114005.46+454216.6,175.02274,45.704604,0.053215,39.62666299999999,-19.3493004,1,156895
J160502.47+330545.0,241.26028,33.09584,0.053267,40.777544000000006,-20.109317800000003,1,65854
J170938.98+630634.8,257.41242,63.10966,0.05347,40.580974,-19.1981297,1,225415
J114545.19+554759.7,176.4383,55.799921,0.05349,40.391311624418485,-20.6654396,0,27239
J103312.84+064437.0,158.30348,6.7436050000000005,0.053501,40.091497,-20.587356600000003,1,30569
J081319.33+460849.8,123.33056,46.147156,0.05358,40.722828,-20.464981100000006,1,41411
J100854.94+373930.0,152.2289,37.658328,0.053620000000000015,40.763501,-20.9131546,1,22832
J140644.89-012023.2,211.68703,-1.339781,0.05369,39.764678,-19.4707661,1,160226
J224824.64+000920.8,342.10266,0.155776,0.053709,40.974996999999995,-20.3554668,1,52812
J160535.00+311439.3,241.39582,31.244263,0.053753,40.225736,-20.1020107,1,67941
J141630.81+013708.0,214.12839,1.618892,0.053849,40.717345047184764,-21.2858925,0,13579
J125400.21+424220.1,193.50087,42.705575,0.053979,39.97952,-20.7412529,1,29459
J140516.19-014240.7,211.31745,-1.7113009999999995,0.054020000000000006,39.310204999999996,-19.584287600000003,0,139096
J133032.00-003613.5,202.63334,-0.603751,0.054020000000000006,40.770205,-20.8181648,1,15465
J140514.87-025901.3,211.31196,-2.983687,0.054183,40.402924,-20.6547012,1,32468
J171447.55+613806.7,258.69814,61.635199,0.054198,39.653172999999995,-20.9328728,1,19468
J023150.81-010823.1,37.961702,-1.139746,0.054198,39.35317299999999,-19.4084339,0,181379
J150853.95-001149.0,227.22479,-0.196936,0.054204,41.953272999999996,-21.4244442,1,11038
J130803.89+505226.8,197.0162,50.874105,0.054248000000000005,40.664004999999996,-19.2048817,1,221935
J012159.82-010224.4,20.499255,-1.040099,0.054307000000000015,41.64498599999999,-21.4613647,1,9293
J023140.98-011003.6,37.920747,-1.167662,0.054358,39.9558330111555,-19.8736076,0,92280
J130040.78+523215.9,195.16992,52.537755,0.054457000000000005,40.497475,-20.6115341,1,34488
J082036.81+470706.5,125.15338,47.118462,0.054511,39.65836958361504,-19.1974316,0,208191
J115850.39+422139.6,179.70994,42.361001,0.054608,40.199974,-19.7567768,1,102362
J143714.19+612728.9,219.30911,61.45804,0.054623000000000005,39.950222,-20.0824757,1,71007
J134426.42+441620.1,206.11007,44.272238,0.054728,40.641956,-20.8718758,1,22500
J075038.12+315737.1,117.65885,31.960301,0.054791,39.93299436458905,-20.2678432,0,52537
J104504.24+114508.8,161.26766,11.752448,0.054831,40.953653,-19.9112606,1,83932
J222909.52+001449.4,337.28968,0.24705700000000005,0.054873000000000005,40.534344,-20.1010532,1,74402
J104710.76+025949.4,161.79483000000005,2.997044,0.054967,40.615889,-21.1662178,1,15113
J093628.90+475451.4,144.1204,47.914284,0.055022,40.106792,-20.5583305,1,39017
J094814.62+103821.5,147.06091,10.639299,0.055046000000000005,40.377185,-19.699564,1,127876
J131651.30+055647.0,199.21374,5.946386,0.055052,40.747284,-19.6143608,1,143934
J141920.65+043623.4,214.83604,4.606496,0.055065,40.857496999999995,-20.8492622,1,22656
J121511.09+450945.1,183.79622,45.162522,0.05508,40.037743,-20.128271100000006,1,61915
J150829.43+371120.8,227.12263,37.189112,0.055136,39.668659999999996,-20.5931263,1,38597
J104454.18+021903.3,161.22574,2.317592,0.055221000000000006,39.930051,-21.0980053,1,16169
