name,ra,dec,z,lum_oiii,petro_abs_mag,petro_app_mag,central,gz2id,gz2class
J150225.26+490220.7,225.60527000000002,49.039071,0.12231099999999999,41.1257081763118,-21.4472408,16.562751373400513,1,114232.0,Sc3m(i)
J152901.08+433123.3,232.25452,43.523136,0.12233800000000004,40.85590835348616,-21.289184600000002,16.721324967621406,1,146506.0,Ei
J093540.02+100849.0,143.91676999999999,10.14695,0.12238399999999999,40.776249289863244,-20.7785339,17.232856907177265,1,,
J152136.72-000054.0,230.403,-0.015007,0.12238900000000001,40.57628634010283,-20.993667600000002,17.017818975344685,1,213156.0,SBb2t
J121842.08+131639.7,184.67533999999998,13.277692000000002,0.12238900000000001,41.34628634010283,-20.8216782,17.189808375344686,1,,
J141503.14-011925.2,213.7631,-1.323667,0.122501,40.76711585154707,-21.1192799,16.89435092008156,1,207788.0,SBc
J072924.77+400623.9,112.35322,40.106642,0.122572,41.627641292573976,-20.534536399999997,17.480452764985806,1,,
J100550.59+001313.4,151.46081,0.220388,0.12257699999999999,41.18767828348558,-20.413499800000004,17.601584995231,1,,
J100826.33+031115.1,152.1097,3.187525,0.122627,40.08804810598338,-20.2301617,17.78587919629764,1,,
J084747.00+392938.5,131.94582,39.494032000000004,0.122769,40.519097544088226,-21.5663185,16.45243572886669,1,100889.0,Sc3m
J102905.52+052555.5,157.27299,5.43208,0.12277,40.619104930003225,-20.3392925,17.679480826392396,1,,
J232932.41-100726.7,352.38503,-10.124086,0.12278499999999999,40.79921571119228,-20.844163899999998,17.17489587175417,1,,
J093509.06+005728.5,143.78775,0.957915,0.12289800000000001,40.63004980898243,-21.0418797,16.9793369047746,1,227410.0,Sb
J133123.18+574958.4,202.8466,57.832898,0.122971,40.37058822536819,-20.454158800000002,17.568450167422522,1,,
J133933.99+554614.2,204.89162,55.770607,0.122976,41.68062509099301,-21.2683392,16.754365106330393,1,172680.0,Sb
J125005.37+041559.7,192.52236000000002,4.2665760000000015,0.12301500000000001,40.880912589179026,-20.7807198,17.242728024944288,1,,
J112904.40+094629.7,172.26833,9.774907,0.12309300000000001,41.70148730022747,-20.4363365,17.588597698537463,1,,
J120455.16+533409.6,181.22984,53.56933100000001,0.123228,40.68248109468405,-20.796132999999998,17.231371679997434,1,,
J103701.36+414946.2,159.25568,41.829511,0.123252,40.15265765027651,-21.086282699999998,16.941678677708055,0,193388.0,Sc3t
J152628.20-003809.4,231.61749,-0.6359520000000001,0.12333399999999999,41.11326061124815,-21.0507393,16.97878183194113,1,224716.0,Er
J152403.83+301914.7,231.01594,30.320763,0.12334400000000001,40.54333411444739,-21.4453812,16.584330079272384,1,139443.0,Sb1t
J094149.84+611158.8,145.45767,61.199666,0.123348,41.45336351398555,-21.356718100000002,16.67306923415308,1,158049.0,Er
J090452.22+033322.9,136.21757,3.5563550000000004,0.123377,40.263576630882675,-21.273843799999998,16.756494862811408,1,151228.0,SBc2l
J094725.82+390833.8,146.85758,39.142711,0.123379,40.97359132667243,-20.966209399999997,17.06416728099344,1,225544.0,Sb
J125258.72+591832.7,193.24466,59.309096,0.123397,41.1437235775926,-21.5238037,16.506915118601974,1,123886.0,Sb2m
J145259.56+352600.8,223.24815,35.433568,0.123464,40.674215668011506,-20.536527600000007,17.495464319227224,1,,
J100340.39+045820.7,150.9183,4.972419,0.12350799999999999,40.874538680274746,-20.6096172,17.423210432579967,0,,
J133435.37+575015.7,203.64739,57.83768900000001,0.12353099999999999,41.33470747979933,-21.611625699999998,16.421638671527898,1,109834.0,Ei
J151207.23+433924.6,228.03012,43.656847,0.12362200000000001,40.355375017319716,-20.343099600000002,17.691891990610213,1,,
J141809.44-015117.2,214.53935,-1.854773,0.12371700000000001,41.06607135023672,-20.346795999999998,17.68999745866118,0,,
J170900.05+601444.4,257.25021,60.245654,0.123744,39.766269153549636,-20.506177899999997,17.531127431534394,1,,
J122513.68+605339.7,186.30698,60.894373,0.123767,41.506437617145494,-21.415960300000002,16.621780988713994,1,152568.0,Er
J123542.03+514239.7,188.92511000000002,51.711036,0.123851,40.38705259807281,-20.5434875,17.495845334451097,1,,
J140828.26+010147.2,212.11777,1.029777,0.12385399999999999,40.467074553626325,-20.4597244,17.57966525663091,0,,
J084037.19+400618.3,130.15497,40.105076000000004,0.123875,40.18722822696361,-21.806625399999998,16.23316197572398,1,89308.0,SBb2m
J110639.56+433620.7,166.66485,43.605739,0.12388900000000001,41.507330660752594,-21.535833399999998,16.50421908663214,1,105654.0,Sb(m)
