name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,petro_app_mag1,central1,gz2id1,gz2class1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,petro_app_mag2,central2,gz2id2,gz2class2
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,13.948226351151913,1.0,3005.0,Sc2t(m),J085547.66+004739.4,133.9486,0.7942829,0.0417085,40.37896797778161,-21.1465797,14.406722651854803,1.0,5647.0,Sc2m
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,13.948226351151913,1.0,3005.0,Sc2t(m),J112757.53-011240.2,171.98972,-1.2111543,0.0426867,40.427256,-21.1578465,14.447343217237346,1.0,7153.0,Ec
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,13.948226351151913,1.0,3005.0,Sc2t(m),J094632.03+351949.3,146.63346,35.33035800000001,0.0427903,40.15244562614881,-21.1235504,14.487066809534635,1.0,7797.0,Sb2m
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,13.948226351151913,1.0,3005.0,Sc2t(m),J143318.48+344404.4,218.32699,34.734557,0.0343207,40.145210999999996,-21.1655464,13.95265644379425,1.0,3444.0,Sc(i)
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,15.133697766594596,1.0,19729.0,Sb,J163934.96+355604.5,249.89567,35.934582,0.0373468,40.11111232579243,-19.9470768,15.35944352400099,1.0,28108.0,Ei
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,15.133697766594596,1.0,19729.0,Sb,J150720.42+022328.1,226.83507000000003,2.3911392000000005,0.04291930000000002,40.175421556266436,-19.9072094,15.710148160652535,1.0,,
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,15.133697766594596,1.0,19729.0,Sb,J143416.62+371202.7,218.56926,37.200737,0.034895300000000004,40.09308889542177,-19.9622478,15.19292803136183,1.0,20425.0,Sc?t
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,15.133697766594596,1.0,19729.0,Sb,J143143.18-021248.8,217.92991,-2.2135634,0.0295117,40.086436,-19.9112339,14.871437809263165,1.0,12172.0,Ei(m)
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,15.133697766594596,1.0,19729.0,Sb,J001529.74+003823.2,3.8739158,0.63977825,0.0403745,40.207612,-20.0445137,15.43608791941482,1.0,31156.0,Sb2m
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,15.267217370717493,1.0,22205.0,Sb(r),J010253.85+141140.4,15.724362,14.194555,0.0396481,39.57058771332291,-19.8211708,15.618854262667297,1.0,,
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,15.267217370717493,1.0,22205.0,Sb(r),J154816.02+425552.8,237.06673,42.931336,0.0356633,39.56140844462309,-19.9227085,15.280967389841585,1.0,24596.0,Er
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,15.267217370717493,1.0,22205.0,Sb(r),J164643.49+391025.9,251.68122,39.173872,0.0396409,39.54739934208358,-19.8822212,15.557398061413533,1.0,31257.0,Ser
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,15.267217370717493,1.0,22205.0,Sb(r),J145850.70-011914.5,224.71126,-1.3206978,0.037763,39.54485849042927,-19.877039,15.454209589144213,1.0,31754.0,Ei
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,15.267217370717493,1.0,22205.0,Sb(r),J143221.95+584232.4,218.09145,58.708996,0.0389215,39.543294486648826,-19.8014297,15.59727710067608,1.0,35635.0,Sc?t(d)
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,14.265793441085927,1.0,5004.0,Sb2t,J073548.83+401938.3,113.95346,40.3273,0.0421262,41.02711400000001,-20.7766323,14.798969607022753,1.0,12621.0,SBc2m
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,14.265793441085927,1.0,5004.0,Sb2t,J133817.77+481641.1,204.57404,48.278074,0.0278113,40.895681,-20.782217000000006,13.86884676636149,1.0,3108.0,Sa?l(m)
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,14.265793441085927,1.0,5004.0,Sb2t,J131517.27+442425.6,198.82194,44.40710900000001,0.0353329,40.81317832430723,-20.904314000000007,14.27862293383302,1.0,5761.0,Sb?l(m)
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,14.265793441085927,1.0,5004.0,Sb2t,J013258.92-102707.0,23.245498,-10.451953,0.0320516,40.598508972567785,-20.8188877,14.147146393078751,1.0,,
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,14.265793441085927,1.0,5004.0,Sb2t,J110752.55+110042.3,166.96896999999996,11.011743,0.0426192,40.373347161138035,-20.865404100000006,14.736242473972109,1.0,11435.0,SBb(r)
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736533,-20.3408813,14.784206825893849,1.0,10450.0,Sb(r),J133008.17-030544.6,202.53405,-3.0957102,0.0434889,39.74016513596092,-20.370491,15.276395198755507,1.0,24612.0,Sb
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736533,-20.3408813,14.784206825893849,1.0,10450.0,Sb(r),J080318.20+314634.9,120.82585,31.776366,0.0363939,39.744494,-20.3982735,14.850603817507093,1.0,11272.0,Sb3t
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736533,-20.3408813,14.784206825893849,1.0,10450.0,Sb(r),J101706.83+093622.5,154.27846,9.6062619,0.0439388,39.72633552589253,-20.2739544,15.395990728518512,1.0,26562.0,Ei
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736533,-20.3408813,14.784206825893849,1.0,10450.0,Sb(r),J223707.72+141355.0,339.2821600000001,14.231936,0.0376246,39.752584708088996,-20.3174706,15.005584645128934,1.0,,
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736533,-20.3408813,14.784206825893849,1.0,10450.0,Sb(r),J085135.80+393523.1,132.89918,39.589762,0.0410562,39.756715595396905,-20.2449169,15.273123319919806,1.0,24213.0,Ser
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,15.3096624794455,1.0,25546.0,Ei,J153048.75-013558.3,232.70314,-1.5995341,0.0373864,39.617707,-19.9085751,15.400309566038905,1.0,29453.0,Sc2m
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,15.3096624794455,1.0,25546.0,Ei,J131357.98+454216.1,198.49157,45.704468,0.0253008,39.64068077892188,-19.9168377,14.524728205843784,1.0,8353.0,Sb?t
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,15.3096624794455,1.0,25546.0,Ei,J012801.39+131914.1,22.005787,13.320587,0.0438538,39.65525232770996,-19.9343796,15.731226605970724,1.0,,
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,15.3096624794455,1.0,25546.0,Ei,J151140.68+033202.5,227.91948,3.5340262000000005,0.0449832,39.58239520307731,-19.7704983,15.952104211781863,1.0,57570.0,Sc?t
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,15.3096624794455,1.0,25546.0,Ei,J010253.85+141140.4,15.724362,14.194555,0.0396481,39.57058771332291,-19.8211708,15.618854262667297,1.0,,
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,15.080182491773595,1.0,20147.0,Er(o),J095914.76+125916.5,149.81151,12.987914,0.0343523,41.360965,-20.125646600000003,14.994605217236149,1.0,17359.0,Sb2m
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,15.080182491773595,1.0,20147.0,Er(o),J153928.56+465859.7,234.86898,46.983251,0.0378892,40.95306059161781,-20.053989399999995,15.284704819395234,1.0,25050.0,Ei
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,15.080182491773595,1.0,20147.0,Er(o),J150126.33+020410.8,225.35971,2.0696736,0.0424461,40.903661,-20.0327549,15.55978049615539,1.0,38421.0,Ei
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,15.080182491773595,1.0,20147.0,Er(o),J215259.07-000903.4,328.24614,-0.15094182,0.0275618,40.8915691761117,-20.0018559,14.629236209855538,1.0,9759.0,Sb
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,15.080182491773595,1.0,20147.0,Er(o),J105953.47+595715.6,164.9728,59.954331,0.0450768,40.85275653982495,-20.162468,15.564795615534663,1.0,35910.0,Ec
J130737.68+433117.7,196.90702,43.521587,0.035371,39.980632891145966,-19.8727341,15.312603973309901,0.0,25996.0,Er,J155948.72+371208.4,239.953,37.202327,0.0308726,39.92870415639898,-19.8961716,14.98658563707035,0.0,14864.0,SBb(r)
